from;to;date_posix;length
PE-00563;PE-00567;2020-05-06 11:40:50;10
PE-00563;PE-00567;2020-05-07 06:05:00;290
PE-00563;PE-00569;2020-05-06 07:05:40;240
PE-00563;PE-00569;2020-05-07 06:43:40;150
PE-00563;PE-00569;2020-05-07 06:49:50;110
PE-00563;PE-00569;2020-05-07 09:42:10;160
PE-00563;PE-00573;2020-05-06 07:09:00;270
PE-00563;PE-00573;2020-05-06 07:23:20;130
PE-00563;PE-00573;2020-05-06 08:17:20;70
PE-00563;PE-00573;2020-05-06 11:40:30;10
PE-00563;PE-00576;2020-05-07 06:09:50;30
PE-00563;PE-00576;2020-05-07 08:04:30;60
PE-00563;PE-00578;2020-05-07 12:36:30;260
PE-00563;PE-00580;2020-05-06 07:51:50;20
PE-00563;PE-00580;2020-05-06 09:50:20;150
PE-00563;PE-00580;2020-05-06 10:25:50;100
PE-00563;PE-00580;2020-05-06 11:11:20;10
PE-00563;PE-00580;2020-05-06 11:22:10;20
PE-00563;PE-00580;2020-05-06 11:24:40;30
PE-00563;PE-00580;2020-05-06 11:26:20;270
PE-00563;PE-00580;2020-05-07 11:22:00;170
PE-00563;PE-00580;2020-05-07 11:51:50;120
PE-00563;PE-00581;2020-05-06 07:22:00;70
PE-00563;PE-00581;2020-05-06 07:37:20;250
PE-00563;PE-00581;2020-05-06 07:50:20;180
PE-00563;PE-00581;2020-05-06 09:01:10;180
PE-00563;PE-00581;2020-05-06 09:05:20;410
PE-00563;PE-00581;2020-05-06 09:18:40;140
PE-00563;PE-00581;2020-05-06 09:22:50;210
PE-00563;PE-00581;2020-05-06 09:38:20;210
PE-00563;PE-00581;2020-05-06 09:50:50;120
PE-00563;PE-00581;2020-05-06 09:54:10;110
PE-00563;PE-00581;2020-05-06 10:04:10;30
PE-00563;PE-00581;2020-05-06 10:06:30;50
PE-00563;PE-00581;2020-05-06 10:25:50;100
PE-00563;PE-00581;2020-05-06 11:00:20;30
PE-00563;PE-00581;2020-05-06 11:19:30;60
PE-00563;PE-00581;2020-05-06 11:24:30;600
PE-00563;PE-00584;2020-05-06 07:01:00;30
PE-00563;PE-00584;2020-05-06 07:04:40;40
PE-00563;PE-00584;2020-05-06 07:21:30;20
PE-00563;PE-00584;2020-05-06 07:23:10;70
PE-00563;PE-00584;2020-05-06 07:37:20;140
PE-00563;PE-00584;2020-05-06 08:12:30;110
PE-00563;PE-00584;2020-05-06 08:18:30;100
PE-00563;PE-00584;2020-05-06 08:24:50;210
PE-00563;PE-00584;2020-05-06 08:41:50;170
PE-00563;PE-00584;2020-05-06 08:47:30;60
PE-00563;PE-00584;2020-05-06 08:58:20;70
PE-00563;PE-00584;2020-05-06 09:03:40;30
PE-00563;PE-00584;2020-05-06 09:14:50;190
PE-00563;PE-00584;2020-05-06 09:19:20;90
PE-00563;PE-00584;2020-05-06 09:38:40;380
PE-00563;PE-00584;2020-05-06 09:46:20;240
PE-00563;PE-00584;2020-05-06 10:18:30;70
PE-00563;PE-00584;2020-05-06 10:25:50;30
PE-00563;PE-00584;2020-05-06 10:27:30;80
PE-00563;PE-00584;2020-05-06 10:41:20;160
PE-00563;PE-00584;2020-05-06 10:48:00;310
PE-00563;PE-00584;2020-05-06 11:00:10;200
PE-00563;PE-00584;2020-05-06 11:20:50;30
PE-00563;PE-00584;2020-05-06 11:22:40;160
PE-00563;PE-00584;2020-05-06 11:49:10;460
PE-00563;PE-00584;2020-05-06 11:58:20;470
PE-00563;PE-00584;2020-05-06 12:07:20;20
PE-00563;PE-00587;2020-05-06 08:06:50;240
PE-00563;PE-00587;2020-05-06 08:34:30;110
PE-00563;PE-00588;2020-05-06 07:46:20;500
PE-00563;PE-00588;2020-05-06 07:56:40;500
PE-00563;PE-00588;2020-05-06 08:18:30;1850
PE-00563;PE-00588;2020-05-06 08:50:20;250
PE-00563;PE-00588;2020-05-06 08:56:30;80
PE-00563;PE-00588;2020-05-06 09:03:30;140
PE-00563;PE-00588;2020-05-06 09:07:00;710
PE-00563;PE-00588;2020-05-06 09:43:40;120
PE-00563;PE-00588;2020-05-06 09:47:30;110
PE-00563;PE-00588;2020-05-07 06:35:40;380
PE-00563;PE-00588;2020-05-07 06:44:10;980
PE-00563;PE-00588;2020-05-07 07:08:30;50
PE-00563;PE-00588;2020-05-07 07:13:00;40
PE-00563;PE-00588;2020-05-07 07:14:50;620
PE-00563;PE-00588;2020-05-07 07:31:30;20
PE-00563;PE-00588;2020-05-07 07:36:00;110
PE-00563;PE-00588;2020-05-07 07:39:20;110
PE-00563;PE-00588;2020-05-07 07:44:20;10
PE-00563;PE-00588;2020-05-07 07:47:30;160
PE-00563;PE-00588;2020-05-07 07:55:30;350
PE-00563;PE-00588;2020-05-07 08:10:10;1110
PE-00563;PE-00588;2020-05-07 08:35:00;1400
PE-00563;PE-00588;2020-05-07 09:12:50;60
PE-00563;PE-00588;2020-05-07 09:19:20;20
PE-00563;PE-00588;2020-05-07 09:21:40;280
PE-00563;PE-00588;2020-05-07 09:42:50;10
PE-00563;PE-00588;2020-05-07 09:52:40;130
PE-00563;PE-00588;2020-05-07 09:59:10;720
PE-00563;PE-00588;2020-05-07 11:43:50;550
PE-00563;PE-00588;2020-05-07 11:59:00;90
PE-00563;PE-00588;2020-05-07 12:14:00;2750
PE-00563;PA-00372;2020-05-06 06:40:00;160
PE-00563;PE-00589;2020-05-07 12:21:00;530
PE-00563;PE-00591;2020-05-06 07:49:40;70
PE-00563;PE-00591;2020-05-07 11:58:20;140
PE-00563;PE-00592;2020-05-07 07:53:10;10
PE-00563;PE-00592;2020-05-07 08:00:20;60
PE-00563;PA-00375;2020-05-06 07:01:20;260
PE-00563;PA-00375;2020-05-06 07:37:20;990
PE-00563;PA-00375;2020-05-06 08:18:50;1230
PE-00563;PA-00375;2020-05-06 08:58:10;180
PE-00563;PA-00375;2020-05-06 09:10:20;620
PE-00563;PA-00375;2020-05-06 09:22:40;1690
PE-00563;PA-00375;2020-05-06 10:18:30;70
PE-00563;PA-00375;2020-05-06 10:49:10;380
PE-00563;PA-00375;2020-05-06 11:14:00;80
PE-00563;PA-00375;2020-05-06 11:43:00;990
PE-00563;PA-00375;2020-05-06 12:13:00;130
PE-00563;PE-00612;2020-05-06 09:16:50;30
PE-00563;PA-00378;2020-05-06 09:54:10;410
PE-00563;PA-00378;2020-05-06 10:02:10;1050
PE-00563;PA-00378;2020-05-06 10:58:40;80
PE-00563;PA-00378;2020-05-06 11:25:30;500
PE-00563;PA-00378;2020-05-06 12:07:50;210
PE-00563;PA-00378;2020-05-07 05:51:50;1190
PE-00563;PA-00378;2020-05-07 07:47:30;230
PE-00563;PA-00378;2020-05-07 08:06:10;260
PE-00563;PA-00378;2020-05-07 08:11:40;1110
PE-00563;PA-00378;2020-05-07 09:15:10;690
PE-00563;PA-00378;2020-05-07 09:35:20;640
PE-00563;PA-00378;2020-05-07 09:59:20;800
PE-00563;PA-00378;2020-05-07 10:15:50;3890
PE-00563;PA-00378;2020-05-07 11:21:50;480
PE-00563;PA-00378;2020-05-07 11:31:50;1130
PE-00563;PA-00378;2020-05-07 12:17:40;730
PE-00563;PE-00634;2020-05-07 12:43:10;400
PE-00563;PE-00644;2020-05-07 10:31:00;10
PE-00563;PE-00644;2020-05-07 12:29:10;80
PE-00563;PE-00671;2020-05-07 11:28:50;70
PE-00563;PE-00672;2020-05-07 07:02:20;450
PE-00563;PE-00672;2020-05-07 07:15:00;610
PE-00563;PE-00672;2020-05-07 07:31:40;100
PE-00563;PE-00672;2020-05-07 07:43:40;120
PE-00563;PE-00672;2020-05-07 07:53:00;40
PE-00563;PE-00672;2020-05-07 08:06:00;250
PE-00563;PE-00672;2020-05-07 08:33:10;1000
PE-00563;PE-00672;2020-05-07 08:51:50;370
PE-00563;PE-00672;2020-05-07 11:40:50;170
PE-00563;PE-00672;2020-05-07 11:51:30;60
PE-00563;PE-00672;2020-05-07 12:18:40;300
PE-00563;PE-00672;2020-05-07 12:26:30;240
PE-00563;PE-00672;2020-05-07 12:39:10;80
PE-00563;PE-00673;2020-05-07 11:33:10;30
PE-00563;PE-00680;2020-05-07 09:14:10;120
PE-00563;PE-00682;2020-05-07 08:49:10;80
PE-00563;PE-00682;2020-05-07 10:07:00;590
PE-00563;PE-00682;2020-05-07 10:49:50;220
PE-00563;PE-00682;2020-05-07 10:55:40;60
PE-00563;PE-00682;2020-05-07 11:04:40;480
PE-00563;PE-00682;2020-05-07 11:18:50;100
PE-00563;PE-00692;2020-05-07 11:56:50;700
PE-00563;PE-00692;2020-05-07 12:09:50;310
PE-00563;PE-00692;2020-05-07 12:16:10;210
PE-00563;PE-00695;2020-05-07 11:58:50;40
PE-00563;PE-00700;2020-05-07 07:12:20;140
PE-00563;PE-00708;2020-05-07 09:07:00;30
PE-00563;PE-00708;2020-05-07 09:18:00;140
PE-00563;PE-00708;2020-05-07 09:23:10;80
PE-00563;PE-00708;2020-05-07 09:28:40;270
PE-00563;PE-00708;2020-05-07 09:34:20;50
PE-00563;PE-00708;2020-05-07 09:52:40;130
PE-00563;PE-00708;2020-05-07 10:03:40;350
PE-00563;PE-00708;2020-05-07 10:20:30;1710
PE-00563;PE-00708;2020-05-07 10:50:10;210
PE-00563;PE-00708;2020-05-07 10:57:00;280
PE-00563;PE-00709;2020-05-07 08:00:40;80
PE-00563;PE-00709;2020-05-07 08:16:20;40
PE-00563;PE-00711;2020-05-07 11:40:50;350
PE-00563;PE-00711;2020-05-07 11:55:50;210
PE-00564;PE-00565;2020-05-06 09:21:00;20
PE-00564;PE-00566;2020-05-06 06:06:30;30
PE-00564;PE-00566;2020-05-06 06:27:40;40
PE-00564;PE-00566;2020-05-06 07:13:30;460
PE-00564;PE-00566;2020-05-06 07:38:40;90
PE-00564;PE-00566;2020-05-06 08:29:20;100
PE-00564;PE-00567;2020-05-06 07:36:30;90
PE-00564;PE-00567;2020-05-06 08:45:10;590
PE-00564;PE-00567;2020-05-07 06:05:30;420
PE-00564;PE-00567;2020-05-07 07:04:00;30
PE-00564;PE-00569;2020-05-06 08:46:10;170
PE-00564;PE-00569;2020-05-07 05:22:20;400
PE-00564;PE-00569;2020-05-07 05:30:30;10
PE-00564;PE-00569;2020-05-07 06:01:00;690
PE-00564;PE-00569;2020-05-07 06:39:30;60
PE-00564;PE-00569;2020-05-07 06:43:00;210
PE-00564;PE-00569;2020-05-07 06:47:50;40
PE-00564;PE-00569;2020-05-07 06:49:50;130
PE-00564;PE-00569;2020-05-07 07:14:20;490
PE-00564;PE-00569;2020-05-07 08:34:30;400
PE-00564;PE-00569;2020-05-07 08:48:50;60
PE-00564;PE-00569;2020-05-07 10:56:50;120
PE-00564;PE-00569;2020-05-07 11:09:40;80
PE-00564;PE-00573;2020-05-06 05:59:40;80
PE-00564;PE-00573;2020-05-06 06:04:40;60
PE-00564;PE-00573;2020-05-06 06:11:40;20
PE-00564;PE-00573;2020-05-06 06:30:20;1020
PE-00564;PE-00573;2020-05-06 06:49:50;200
PE-00564;PE-00573;2020-05-06 07:22:40;170
PE-00564;PE-00573;2020-05-06 07:35:00;100
PE-00564;PE-00573;2020-05-06 08:17:20;60
PE-00564;PE-00574;2020-05-06 07:05:40;330
PE-00564;PE-00574;2020-05-06 07:35:30;100
PE-00564;PE-00574;2020-05-06 08:28:00;70
PE-00564;PE-00580;2020-05-06 07:51:50;30
PE-00564;PE-00580;2020-05-06 08:54:00;140
PE-00564;PE-00580;2020-05-06 09:34:40;280
PE-00564;PE-00580;2020-05-07 07:38:40;220
PE-00564;PE-00580;2020-05-07 07:47:00;200
PE-00564;PE-00580;2020-05-07 07:53:10;450
PE-00564;PE-00580;2020-05-07 11:02:40;340
PE-00564;PE-00580;2020-05-07 11:46:00;50
PE-00564;PE-00580;2020-05-07 12:03:50;80
PE-00564;PE-00581;2020-05-06 06:00:20;120
PE-00564;PE-00581;2020-05-06 07:41:50;70
PE-00564;PE-00581;2020-05-06 07:50:00;190
PE-00564;PE-00581;2020-05-06 07:59:50;70
PE-00564;PE-00581;2020-05-06 08:18:00;480
PE-00564;PE-00581;2020-05-06 09:03:30;250
PE-00564;PE-00581;2020-05-06 09:08:50;90
PE-00564;PE-00581;2020-05-06 09:19:00;130
PE-00564;PE-00581;2020-05-06 09:24:00;360
PE-00564;PE-00581;2020-05-06 09:42:00;30
PE-00564;PE-00581;2020-05-06 09:46:50;230
PE-00564;PE-00584;2020-05-06 06:03:40;30
PE-00564;PE-00584;2020-05-06 06:09:20;60
PE-00564;PE-00584;2020-05-06 06:28:50;210
PE-00564;PE-00584;2020-05-06 06:57:40;270
PE-00564;PE-00584;2020-05-06 07:48:50;680
PE-00564;PE-00584;2020-05-06 08:19:50;370
PE-00564;PE-00584;2020-05-06 08:31:30;100
PE-00564;PE-00584;2020-05-06 08:59:30;40
PE-00564;PE-00584;2020-05-06 09:18:50;840
PE-00564;PE-00587;2020-05-06 07:07:30;120
PE-00564;PA-00369;2020-05-06 07:05:40;350
PE-00564;PE-00588;2020-05-06 07:13:10;260
PE-00564;PE-00588;2020-05-06 07:31:40;110
PE-00564;PE-00588;2020-05-06 07:43:10;120
PE-00564;PE-00588;2020-05-06 07:48:30;720
PE-00564;PE-00588;2020-05-06 08:18:10;470
PE-00564;PE-00588;2020-05-06 08:31:40;480
PE-00564;PE-00588;2020-05-06 08:41:00;540
PE-00564;PE-00588;2020-05-06 09:03:30;130
PE-00564;PE-00588;2020-05-06 09:07:10;310
PE-00564;PE-00588;2020-05-06 09:14:50;140
PE-00564;PE-00588;2020-05-06 09:18:50;820
PE-00564;PE-00588;2020-05-07 06:34:00;1590
PE-00564;PE-00588;2020-05-07 07:08:30;40
PE-00564;PE-00588;2020-05-07 07:13:10;580
PE-00564;PE-00588;2020-05-07 07:24:20;70
PE-00564;PE-00588;2020-05-07 07:29:20;150
PE-00564;PE-00588;2020-05-07 07:35:50;140
PE-00564;PE-00588;2020-05-07 07:39:20;220
PE-00564;PE-00588;2020-05-07 07:44:20;50
PE-00564;PE-00588;2020-05-07 07:47:30;180
PE-00564;PE-00588;2020-05-07 07:52:40;660
PE-00564;PE-00588;2020-05-07 08:04:50;680
PE-00564;PE-00588;2020-05-07 08:17:30;10
PE-00564;PE-00588;2020-05-07 08:19:20;140
PE-00564;PE-00588;2020-05-07 08:22:50;490
PE-00564;PE-00588;2020-05-07 08:35:10;360
PE-00564;PE-00588;2020-05-07 08:46:00;740
PE-00564;PE-00588;2020-05-07 09:05:10;140
PE-00564;PE-00588;2020-05-07 09:13:30;10
PE-00564;PE-00588;2020-05-07 09:18:00;520
PE-00564;PE-00588;2020-05-07 09:52:40;1150
PE-00564;PE-00588;2020-05-07 10:14:20;440
PE-00564;PE-00588;2020-05-07 10:33:40;130
PE-00564;PE-00588;2020-05-07 10:51:30;50
PE-00564;PE-00588;2020-05-07 11:37:20;60
PE-00564;PE-00588;2020-05-07 11:42:20;320
PE-00564;PE-00588;2020-05-07 12:16:30;860
PE-00564;PA-00372;2020-05-06 05:59:40;80
PE-00564;PA-00372;2020-05-06 06:04:30;150
PE-00564;PA-00372;2020-05-06 06:10:40;160
PE-00564;PE-00589;2020-05-06 09:17:50;10
PE-00564;PE-00589;2020-05-07 11:45:50;110
PE-00564;PE-00589;2020-05-07 12:08:50;30
PE-00564;PE-00589;2020-05-07 12:11:30;10
PE-00564;PE-00589;2020-05-07 12:20:40;490
PE-00564;PE-00591;2020-05-06 08:26:30;20
PE-00564;PE-00591;2020-05-07 11:58:00;110
PE-00564;PE-00592;2020-05-07 07:53:00;20
PE-00564;PE-00592;2020-05-07 07:58:30;170
PE-00564;PE-00600;2020-05-07 10:58:20;180
PE-00564;PE-00600;2020-05-07 12:03:40;50
PE-00564;PA-00374;2020-05-06 06:06:00;10
PE-00564;PA-00375;2020-05-06 06:03:40;40
PE-00564;PA-00375;2020-05-06 06:21:30;70
PE-00564;PA-00375;2020-05-06 06:56:40;520
PE-00564;PA-00375;2020-05-06 07:45:30;960
PE-00564;PA-00375;2020-05-06 08:17:40;500
PE-00564;PA-00375;2020-05-06 08:31:40;490
PE-00564;PA-00375;2020-05-06 08:41:00;810
PE-00564;PA-00375;2020-05-06 08:59:30;110
PE-00564;PA-00375;2020-05-06 09:18:50;890
PE-00564;PE-00612;2020-05-06 09:16:50;70
PE-00564;PE-00617;2020-05-06 08:30:00;70
PE-00564;PE-00622;2020-05-07 12:03:50;100
PE-00564;PE-00623;2020-05-07 12:13:40;90
PE-00564;PE-00626;2020-05-06 09:17:40;20
PE-00564;PA-00378;2020-05-06 08:40:00;50
PE-00564;PA-00378;2020-05-06 08:54:00;140
PE-00564;PA-00378;2020-05-06 09:12:40;90
PE-00564;PA-00378;2020-05-06 09:32:00;1590
PE-00564;PA-00378;2020-05-07 05:15:00;3530
PE-00564;PA-00378;2020-05-07 06:49:50;90
PE-00564;PA-00378;2020-05-07 07:12:10;200
PE-00564;PA-00378;2020-05-07 07:28:20;940
PE-00564;PA-00378;2020-05-07 07:45:40;280
PE-00564;PA-00378;2020-05-07 07:52:50;720
PE-00564;PA-00378;2020-05-07 08:19:30;680
PE-00564;PA-00378;2020-05-07 08:49:10;8350
PE-00564;PA-00378;2020-05-07 12:13:00;110
PE-00564;PA-00378;2020-05-07 12:16:40;800
PE-00564;PE-00637;2020-05-07 12:34:10;70
PE-00564;PE-00644;2020-05-07 12:27:00;100
PE-00564;PE-00672;2020-05-07 07:02:10;100
PE-00564;PE-00672;2020-05-07 07:13:00;20
PE-00564;PE-00672;2020-05-07 07:15:00;480
PE-00564;PE-00672;2020-05-07 07:24:30;60
PE-00564;PE-00672;2020-05-07 07:30:00;300
PE-00564;PE-00672;2020-05-07 07:36:40;460
PE-00564;PE-00672;2020-05-07 07:45:40;30
PE-00564;PE-00672;2020-05-07 07:47:30;500
PE-00564;PE-00672;2020-05-07 07:59:40;80
PE-00564;PE-00672;2020-05-07 08:03:10;460
PE-00564;PE-00672;2020-05-07 08:12:40;70
PE-00564;PE-00672;2020-05-07 08:29:50;70
PE-00564;PE-00672;2020-05-07 08:34:50;170
PE-00564;PE-00672;2020-05-07 08:39:00;660
PE-00564;PE-00672;2020-05-07 08:52:00;390
PE-00564;PE-00672;2020-05-07 09:06:30;20
PE-00564;PE-00672;2020-05-07 09:59:00;30
PE-00564;PE-00672;2020-05-07 11:40:50;170
PE-00564;PE-00672;2020-05-07 12:12:40;140
PE-00564;PE-00672;2020-05-07 12:18:40;680
PE-00564;PE-00672;2020-05-07 12:33:00;40
PE-00564;PE-00673;2020-05-07 06:28:30;90
PE-00564;PE-00680;2020-05-07 07:23:10;30
PE-00564;PE-00682;2020-05-07 08:27:40;70
PE-00564;PE-00682;2020-05-07 08:39:40;90
PE-00564;PE-00682;2020-05-07 08:46:30;100
PE-00564;PE-00682;2020-05-07 09:05:50;100
PE-00564;PE-00682;2020-05-07 10:19:20;370
PE-00564;PE-00682;2020-05-07 10:53:20;230
PE-00564;PE-00682;2020-05-07 11:58:10;70
PE-00564;PE-00692;2020-05-07 12:05:00;50
PE-00564;PE-00695;2020-05-07 11:56:20;200
PE-00564;PE-00696;2020-05-07 12:31:20;100
PE-00564;PE-00700;2020-05-07 07:11:10;210
PE-00564;PE-00700;2020-05-07 07:50:30;90
PE-00564;PE-00700;2020-05-07 07:54:10;10
PE-00564;PE-00700;2020-05-07 07:57:20;60
PE-00564;PE-00707;2020-05-07 08:22:20;40
PE-00564;PE-00707;2020-05-07 10:25:10;60
PE-00564;PE-00707;2020-05-07 10:34:10;200
PE-00564;PE-00708;2020-05-07 09:16:40;220
PE-00564;PE-00708;2020-05-07 09:23:10;90
PE-00564;PE-00708;2020-05-07 09:28:50;750
PE-00564;PE-00708;2020-05-07 09:46:10;360
PE-00564;PE-00708;2020-05-07 09:53:20;1330
PE-00564;PE-00708;2020-05-07 10:16:50;2320
PE-00564;PE-00708;2020-05-07 10:58:20;200
PE-00564;PE-00709;2020-05-07 08:01:30;90
PE-00564;PE-00709;2020-05-07 08:08:00;380
PE-00564;PE-00709;2020-05-07 08:15:50;20
PE-00564;PE-00709;2020-05-07 08:25:20;250
PE-00564;PE-00709;2020-05-07 08:30:50;10
PE-00564;PE-00711;2020-05-07 10:50:00;30
PE-00565;PE-00566;2020-05-06 05:20:30;110
PE-00565;PE-00566;2020-05-06 06:01:50;30
PE-00565;PE-00566;2020-05-06 06:03:40;120
PE-00565;PE-00566;2020-05-06 06:14:20;90
PE-00565;PE-00566;2020-05-06 07:58:20;240
PE-00565;PE-00566;2020-05-06 08:41:30;150
PE-00565;PE-00566;2020-05-06 09:16:30;20
PE-00565;PE-00566;2020-05-06 09:43:10;250
PE-00565;PE-00566;2020-05-06 09:48:40;150
PE-00565;PE-00566;2020-05-06 09:53:20;30
PE-00565;PE-00567;2020-05-06 05:21:00;70
PE-00565;PE-00567;2020-05-06 05:23:30;150
PE-00565;PE-00567;2020-05-06 06:31:30;40
PE-00565;PE-00567;2020-05-06 07:12:20;110
PE-00565;PE-00567;2020-05-06 07:38:40;110
PE-00565;PE-00567;2020-05-06 08:43:00;30
PE-00565;PE-00567;2020-05-06 09:32:00;900
PE-00565;PE-00567;2020-05-06 09:49:20;200
PE-00565;PE-00567;2020-05-06 10:23:00;20
PE-00565;PE-00567;2020-05-06 10:51:00;20
PE-00565;PE-00567;2020-05-06 10:54:40;30
PE-00565;PE-00569;2020-05-06 10:51:00;60
PE-00565;PE-00573;2020-05-06 09:11:20;40
PE-00565;PE-00581;2020-05-06 09:23:50;310
PE-00565;PE-00583;2020-05-06 07:08:20;40
PE-00565;PE-00583;2020-05-06 08:43:40;30
PE-00565;PE-00585;2020-05-06 09:03:40;50
PE-00565;PE-00585;2020-05-06 10:00:00;40
PE-00565;PE-00585;2020-05-06 10:19:30;170
PE-00565;PE-00585;2020-05-06 10:40:30;150
PE-00565;PE-00588;2020-05-06 07:40:40;30
PE-00565;PE-00588;2020-05-06 08:08:00;60
PE-00565;PE-00588;2020-05-06 08:11:30;370
PE-00565;PE-00588;2020-05-06 09:12:30;30
PE-00565;PE-00588;2020-05-06 09:14:00;30
PE-00565;PE-00588;2020-05-06 09:17:20;90
PE-00565;PE-00588;2020-05-06 09:21:40;380
PE-00565;PE-00588;2020-05-06 10:33:20;90
PE-00565;PE-00588;2020-05-06 10:55:40;420
PE-00565;PE-00588;2020-05-06 11:10:30;2620
PE-00565;PE-00589;2020-05-06 09:56:50;150
PE-00565;PA-00373;2020-05-06 08:04:00;270
PE-00565;PA-00373;2020-05-06 08:11:30;370
PE-00565;PA-00373;2020-05-06 11:00:20;3220
PE-00565;PE-00610;2020-05-06 08:09:10;130
PE-00565;PE-00610;2020-05-06 08:18:20;750
PE-00565;PE-00610;2020-05-06 08:32:20;90
PE-00565;PE-00610;2020-05-06 08:35:30;60
PE-00565;PE-00610;2020-05-06 08:37:50;150
PE-00565;PE-00610;2020-05-06 09:42:10;120
PE-00565;PE-00610;2020-05-06 09:49:50;180
PE-00565;PE-00610;2020-05-06 10:20:30;110
PE-00565;PE-00610;2020-05-06 10:26:50;100
PE-00565;PE-00615;2020-05-06 10:15:50;390
PE-00565;PE-00626;2020-05-06 08:47:30;20
PE-00565;PE-00629;2020-05-06 08:43:20;130
PE-00565;PE-00629;2020-05-06 09:02:10;60
PE-00565;PE-00632;2020-05-06 12:10:20;10
PE-00565;PE-00635;2020-05-06 12:10:40;380
PE-00565;PE-00636;2020-05-06 12:00:00;1190
PE-00565;PE-00637;2020-05-06 12:07:50;300
PE-00566;PE-00567;2020-05-06 05:20:10;200
PE-00566;PE-00567;2020-05-06 06:53:50;130
PE-00566;PE-00567;2020-05-06 09:43:20;180
PE-00566;PE-00567;2020-05-06 09:49:30;270
PE-00566;PE-00567;2020-05-06 11:29:20;320
PE-00566;PE-00568;2020-05-06 07:45:40;290
PE-00566;PE-00569;2020-05-06 05:41:00;560
PE-00566;PE-00569;2020-05-06 07:51:50;40
PE-00566;PE-00569;2020-05-06 08:17:40;480
PE-00566;PE-00569;2020-05-06 09:41:00;40
PE-00566;PE-00569;2020-05-06 10:14:30;30
PE-00566;PE-00569;2020-05-06 10:30:30;80
PE-00566;PE-00582;2020-05-06 11:01:00;90
PE-00566;PE-00584;2020-05-06 07:08:40;400
